crossing time (s)	slope (V/s)	crossing number
281474976710655.000000	31.983089	10553	0.000000
281474976710655.000000	31.366646	10554	0.000000
281474976710655.000000	25.443514	10555	0.000000
281474976710655.000000	34.320915	10556	0.000000
281474976710655.000000	28.941240	10557	0.000000
281474976710655.000000	30.025204	10558	0.000000
281474976710655.000000	29.486563	10559	0.000000
281474976710655.000000	26.779015	10560	0.000000
281474976710655.000000	30.383343	10561	0.000000
281474976710655.000000	27.012430	10562	0.000000
281474976710655.000000	29.468237	10563	0.000000
281474976710655.000000	33.165646	10564	0.000000
281474976710655.000000	27.725399	10565	0.000000
281474976710655.000000	27.505625	10566	0.000000
281474976710655.000000	23.758509	10567	0.000000
281474976710655.000000	28.793852	10568	0.000000
281474976710655.000000	29.843611	10569	0.000000
281474976710655.000000	33.789032	10570	0.000000
281474976710655.000000	29.186481	10571	0.000000
281474976710655.000000	24.112192	10572	0.000000
281474976710655.000000	24.600592	10573	0.000000
281474976710655.000000	27.319433	10574	0.000000
281474976710655.000000	32.023949	10575	0.000000
281474976710655.000000	32.975925	10576	0.000000
281474976710655.000000	27.040773	10577	0.000000
281474976710655.000000	32.182961	10578	0.000000
281474976710655.000000	30.360243	10579	0.000000
281474976710655.000000	23.109575	10580	0.000000
281474976710655.000000	26.259319	10581	0.000000
281474976710655.000000	28.886665	10582	0.000000
281474976710655.000000	24.957392	10583	0.000000
281474976710655.000000	27.293859	10584	0.000000
281474976710655.000000	33.098839	10585	0.000000
281474976710655.000000	25.843515	10586	0.000000
281474976710655.000000	24.585825	10587	0.000000
281474976710655.000000	33.148701	10588	0.000000
281474976710655.000000	29.011847	10589	0.000000
281474976710655.000000	28.191668	10590	0.000000
281474976710655.000000	30.639305	10591	0.000000
281474976710655.000000	26.718237	10592	0.000000
281474976710655.000000	26.814861	10593	0.000000
281474976710655.000000	26.292252	10594	0.000000
281474976710655.000000	28.497976	10595	0.000000
281474976710655.000000	25.200388	10596	0.000000
281474976710655.000000	26.657791	10597	0.000000
281474976710655.000000	29.977291	10598	0.000000
281474976710655.000000	32.699478	10599	0.000000
281474976710655.000000	27.265589	10600	0.000000
281474976710655.000000	26.228399	10601	0.000000
281474976710655.000000	27.456730	10602	0.000000
281474976710655.000000	31.792500	10603	0.000000
281474976710655.000000	24.926874	10604	0.000000
281474976710655.000000	26.279299	10605	0.000000
281474976710655.000000	29.102339	10606	0.000000
281474976710655.000000	26.966724	10607	0.000000
281474976710655.000000	28.498413	10608	0.000000
281474976710655.000000	29.612095	10609	0.000000
281474976710655.000000	24.300552	10610	0.000000
281474976710655.000000	24.565399	10611	0.000000
281474976710655.000000	27.596258	10612	0.000000
281474976710655.000000	29.918690	10613	0.000000
281474976710655.000000	27.392485	10614	0.000000
281474976710655.000000	23.105803	10615	0.000000
281474976710655.000000	27.900990	10616	0.000000
281474976710655.000000	33.859173	10617	0.000000
281474976710655.000000	26.927015	10618	0.000000
281474976710655.000000	23.239288	10619	0.000000
281474976710655.000000	29.351906	10620	0.000000
281474976710655.000000	32.678192	10621	0.000000
281474976710655.000000	24.822212	10622	0.000000
281474976710655.000000	24.962795	10623	0.000000
281474976710655.000000	25.789104	10624	0.000000
281474976710655.000000	23.598988	10625	0.000000
281474976710655.000000	29.651379	10626	0.000000
281474976710655.000000	27.176573	10627	0.000000
281474976710655.000000	27.905800	10628	0.000000
281474976710655.000000	25.025030	10629	0.000000
281474976710655.000000	25.683563	10630	0.000000
