num crossings	time (s)	maj axis (mm)	min axis (mm)	theta (rad )	slope (V/s)
13977	28103.457741	39.854337	-11.784275	-0.816307	31.035031
13981	28107.612087	39.755206	-11.749542	-0.819129	29.578152
13983	28109.693122	39.738781	-11.718985	-0.820873	26.141862
13985	28111.769759	39.651769	-11.710918	-0.822503	29.227119
13989	28115.924716	39.548979	-11.685494	-0.825383	28.205623
13991	28118.002459	39.522422	-11.653185	-0.827559	28.286963
13993	28120.081173	39.484691	-11.634604	-0.828152	26.938594
13995	28122.156975	39.447632	-11.607603	-0.829390	29.530751
13997	28124.237403	39.359382	-11.602173	-0.831120	26.173569
14001	28128.391427	39.283663	-11.550517	-0.833798	24.108354
14003	28130.468345	39.222828	-11.544634	-0.835420	27.377869
14005	28132.547743	39.193414	-11.518854	-0.836876	25.019485
14009	28136.702759	39.115211	-11.482032	-0.839814	26.881613
14011	28138.780045	39.035126	-11.471600	-0.841033	27.095216
14013	28140.857141	39.028293	-11.434693	-0.842524	27.737841
14017	28145.012972	38.930362	-11.398210	-0.845441	26.736021
14019	28147.091002	38.883177	-11.389812	-0.846917	26.974363
14021	28149.167469	38.845135	-11.356331	-0.847515	27.465197
14023	28151.246103	38.809658	-11.337097	-0.848949	25.882138
14025	28153.323552	38.777540	-11.318762	-0.850692	27.902334
14029	28157.479016	38.746414	-11.274113	-0.854185	27.421691
14031	28159.555720	38.674256	-11.251607	-0.854705	26.469332
14033	28161.633336	38.655767	-11.242333	-0.856474	25.192984
14037	28165.789305	38.492903	-11.220342	-0.858054	26.511525
14039	28167.866504	38.458439	-11.187329	-0.859551	26.351608
14041	28169.944601	38.381808	-11.171912	-0.860655	26.819567
14043	28172.021534	38.349036	-11.146584	-0.861917	26.115675
14047	28176.177548	38.260697	-11.109801	-0.864070	25.764288
14049	28178.255260	38.199821	-11.083303	-0.865326	25.987937
14051	28180.332677	38.160281	-11.064484	-0.866428	26.003826
14053	28182.410664	38.088026	-11.038409	-0.867234	24.772388
14057	28186.566212	37.956465	-10.999647	-0.870155	25.463929
14059	28188.643589	37.902331	-10.976844	-0.870611	25.510765
14061	28190.722098	37.873750	-10.950250	-0.871798	26.048803
14063	28192.799543	37.836923	-10.935784	-0.873618	24.690436
14067	28196.954529	37.735081	-10.896877	-0.875420	24.121325
14069	28199.031200	37.671766	-10.876628	-0.877108	25.777700
14071	28201.110450	37.638478	-10.851433	-0.878228	23.763302
14075	28205.264667	37.566566	-10.808845	-0.880772	23.327303
14077	28207.342087	37.495430	-10.798299	-0.882034	25.174440
14079	28209.420952	37.464414	-10.782021	-0.883425	25.151657
14081	28211.498418	37.405390	-10.762667	-0.884972	25.345656
14085	28215.652972	37.315919	-10.733630	-0.886861	24.591647
14087	28217.730508	37.296464	-10.696864	-0.887968	23.676398
14089	28219.808851	37.243327	-10.683696	-0.888908	24.222235
14091	28221.885942	37.206843	-10.656422	-0.889812	24.525023
14093	28223.963410	37.144201	-10.638524	-0.890567	23.190743
14097	28228.118632	37.049946	-10.596942	-0.892871	24.381890
14099	28230.196188	37.124387	-10.563545	-0.895833	22.945414
14101	28232.273625	36.971816	-10.558777	-0.894986	23.878597
14103	28234.350878	36.947398	-10.544861	-0.896332	23.671310
14107	28238.506120	36.855517	-10.503183	-0.898216	24.212776
14109	28240.584339	36.805330	-10.472801	-0.899073	23.335210
14111	28242.661393	36.727218	-10.456005	-0.900141	23.920563
14113	28244.738510	36.744939	-10.439129	-0.903059	23.582971
14115	28246.816151	36.666939	-10.421152	-0.902906	24.441111
14119	28250.971579	36.578097	-10.391080	-0.905024	23.225722
14121	28253.048728	36.526239	-10.373438	-0.906191	23.513496
14123	28255.127201	36.483986	-10.355172	-0.907531	23.105039
14125	28257.205075	36.459372	-10.326412	-0.908376	22.884726
14127	28259.283102	36.377051	-10.309363	-0.908908	23.459220
14129	28261.360444	36.326595	-10.283358	-0.909941	22.790335
14133	28265.515444	36.181126	-10.270383	-0.913254	22.409061
14135	28267.593855	36.198661	-10.228492	-0.913181	22.549243
14137	28269.671315	36.129602	-10.217054	-0.914709	21.912623
14139	28271.748487	36.085590	-10.204229	-0.915610	22.746269
14143	28275.904026	35.999839	-10.170996	-0.918768	22.827610
14145	28277.981677	35.961353	-10.152423	-0.919469	22.196597
14147	28280.058983	35.922091	-10.128443	-0.920749	22.019180
14149	28282.136381	35.904700	-10.104668	-0.924805	22.211714
14151	28284.213957	35.820556	-10.099177	-0.923262	22.330689
14155	28288.369772	35.740851	-10.067718	-0.925741	21.915409
14157	28290.447213	35.694889	-10.051599	-0.926385	22.727363
14159	28292.524182	35.651667	-10.041419	-0.927524	22.482263
14163	28296.680807	35.627362	-10.011091	-0.930928	21.971770
14165	28298.757207	35.543384	-9.989402	-0.930931	21.528291
14167	28300.834592	35.530173	-9.969358	-0.932173	22.198053
14169	28302.911536	35.451817	-9.961735	-0.933825	22.308086
14171	28304.990305	35.414150	-9.944473	-0.934129	21.022131
14175	28309.145068	35.339445	-9.916132	-0.936515	22.263140
14177	28311.221722	35.278949	-9.898251	-0.938078	21.161771
14179	28313.300154	35.254680	-9.879709	-0.938595	20.508829
14181	28315.377612	35.223981	-9.858744	-0.939863	22.122025
14183	28317.455347	35.154841	-9.839544	-0.941370	22.234988
14185	28319.532830	35.148888	-9.815783	-0.942050	22.346174
14187	28321.610141	35.109781	-9.806268	-0.943365	20.886544
14189	28323.688026	35.029562	-9.806861	-0.944590	22.301323
14193	28327.843870	34.943654	-9.769971	-0.946780	20.170822
14195	28329.920412	34.848333	-9.757655	-0.948276	21.526779
14197	28331.997749	34.860884	-9.724843	-0.948907	21.594644
14199	28334.077003	34.785238	-9.714092	-0.949565	20.914894
14201	28336.154083	34.741262	-9.694927	-0.950115	21.180595
14205	28340.308340	34.622964	-9.664671	-0.952345	20.686805
14207	28342.387235	34.598208	-9.654666	-0.953031	20.100859
14209	28344.464543	34.547206	-9.657607	-0.954294	19.934399
14213	28348.619536	34.469973	-9.615748	-0.956268	20.369825
14215	28350.697047	34.416698	-9.604662	-0.957627	19.987057
14217	28352.775912	34.387969	-9.590730	-0.958795	20.086019
14219	28354.853484	34.344884	-9.573220	-0.959862	19.940563
14221	28356.929947	34.301298	-9.565821	-0.961143	20.025712
14223	28359.007558	34.241801	-9.557577	-0.962723	20.730220
14227	28363.163839	34.183096	-9.517926	-0.964945	18.940891
14229	28365.241464	34.135403	-9.511560	-0.966109	20.059354
14231	28367.318187	34.092355	-9.492735	-0.967515	18.836641
14233	28369.394785	34.060941	-9.480368	-0.968902	20.103095
14235	28371.474502	34.016678	-9.463328	-0.969828	20.182411
14237	28373.551585	33.974361	-9.448042	-0.971353	18.409463
14241	28377.705907	33.934352	-9.406675	-0.973018	19.513081
14243	28379.782469	33.823942	-9.406237	-0.974311	19.902675
14245	28381.862142	33.810356	-9.390542	-0.975273	19.819892
14247	28383.938854	33.785994	-9.375842	-0.976440	19.083772
14249	28386.016027	33.758482	-9.356844	-0.977630	19.655446
14253	28390.170150	33.670628	-9.338993	-0.980013	19.010081
14255	28392.249145	33.628897	-9.322256	-0.980673	20.238939
14257	28394.326929	33.580010	-9.309036	-0.981879	18.081949
14259	28396.403636	33.565730	-9.287403	-0.983020	19.428969
14261	28398.481038	33.513487	-9.292994	-0.984844	19.907965
14265	28402.635441	33.411998	-9.247675	-0.985579	19.803791
14267	28404.713953	33.351520	-9.228162	-0.986711	18.587045
14269	28406.791597	33.333868	-9.213237	-0.987562	19.107923
14271	28408.868579	33.295093	-9.195933	-0.988785	19.388076
14275	28413.024944	33.219654	-9.162447	-0.991329	18.489678
14277	28415.101795	33.171336	-9.142741	-0.991526	18.163248
14279	28417.178897	33.098823	-9.124517	-0.992656	19.119148
14281	28419.256731	33.083602	-9.116474	-0.994260	17.891897
